,price,year,km,engine_size,horse_power
12937,42000,1994,132000,1581,83
12938,56750,1989,250000,1596,100
12939,66000,2005,330000,1401,76
12940,670000,2018,57900,1595,156
12941,87000,2009,200000,1493,110
12943,92500,2015,250000,1201,76
12944,96000,2014,136000,1199,73
12945,117750,2015,215000,1396,90
12946,118000,2012,157000,1388,96
12947,119900,2012,230000,1401,76
12948,125750,2013,123000,1201,76
12950,138500,2014,165000,1598,110
12951,169750,2012,141000,1598,105
12953,188000,2015,42000,1598,132
12954,295000,2017,60786,1598,110
12955,37500,1995,200000,1581,83
12956,373000,2015,130000,1401,151
12957,408000,2018,25000,1461,116
12958,58750,1998,230000,1590,116
12959,78900,2013,254000,1248,95
12961,115000,2000,261000,1781,150
12962,127000,2016,142000,1401,51
12963,145000,2018,26000,1560,100
12964,152750,2012,148000,1201,76
12965,155000,2010,58000,1201,76
12966,188250,2016,159000,1201,76
12967,198000,2015,42000,1197,110
12968,213750,2017,150000,1461,110
12969,235000,2017,109000,1598,115
12970,279750,2017,33000,1395,125
12972,44500,1982,255000,2501,76
12973,70000,2010,245000,1401,101
12974,92500,2014,140000,1201,76
12975,920000,2017,25000,1998,252
12976,93750,2009,252145,1560,110
12978,119500,2013,166000,1461,90
12979,121000,2013,155000,1461,90
12980,132000,2012,160000,1595,125
12981,138950,2016,156000,1582,136
12982,157000,2008,248000,1801,126
12983,175000,2013,30000,1364,90
12984,189000,2019,800,1398,90
12985,199000,2015,141000,1598,110
12986,218000,2016,99000,1395,150
12987,305500,2014,255000,1462,109
12988,359750,2016,17000,1598,120
12990,435000,2018,63000,1995,190
12991,46500,2001,270000,1242,75
12992,67500,2004,215000,1398,69
12993,100000,2010,107000,1587,111
12994,102500,1994,390000,2497,113
12996,120900,2012,158000,1560,115
12997,123000,2015,86000,999,75
12998,138500,2000,175000,1801,126
12999,159750,2016,160000,1364,90
13000,160000,2011,277000,1598,105
13001,175000,2015,151000,1401,101
13002,252000,2016,83004,1598,125
13003,305000,2020,8000,1401,101
13004,37000,1993,100000,1581,83
13005,60000,1998,125000,999,54
13006,60250,2004,202000,998,60
13007,64500,2014,650000,1201,76
13008,77999,2007,135555,1390,75
13009,108750,2013,172000,1390,85
13010,127000,2012,92000,1397,96
13011,137750,2018,79990,1461,90
13012,156850,2015,190000,1560,115
13013,162750,2015,168000,1364,90
13014,169000,2018,48000,1461,90
13015,174000,2010,312000,1968,143
13016,224000,2014,106000,1401,101
13017,252000,2018,50000,1597,120
13018,253750,2017,80000,1598,120
13019,29500,1994,270000,1581,83
13020,395750,2012,183000,1801,176
13021,65750,2002,220000,1201,76
13022,68500,1993,280000,1799,122
13023,68750,2001,307192,1389,90
13024,89900,2011,118000,1399,97
13025,109000,2007,287000,1595,125
13026,137500,2013,198000,1591,132
13027,169850,2016,148000,1560,95
13028,172700,2017,87900,1461,90
13030,198000,2016,109000,1461,110
13031,216000,2016,58850,1598,110
13033,243000,2014,87000,1401,101
13034,275000,2013,260000,1801,176
13035,279000,2018,76596,1598,101
13036,30000,1995,99999,1581,75
13037,349000,2015,67000,1462,109
13038,67000,2004,232000,1389,90
13039,83000,2006,191000,1560,93
13041,107500,2012,179000,1560,114
13042,110000,2010,70000,1595,125
13043,124950,2010,147500,1401,101
13044,125750,2013,179000,1364,90
13045,127000,2011,140000,1461,85
13046,128000,2004,359000,1781,150
13047,158950,2016,27000,1368,100
13048,175000,2014,40000,1401,101
13049,232000,2017,216000,1598,120
13050,263000,2017,58750,1598,115
13051,30000,1993,127000,1581,80
13052,36750,1992,321113,2498,143
13053,40000,2000,166000,1372,71
13054,424900,2016,105000,1598,136
13055,51000,2003,205000,1390,75
13056,81800,2006,180000,1461,75
13057,105500,2015,150000,1201,76
13058,111800,2009,187000,1461,80
13059,118500,2012,137000,1329,99
13060,119000,2017,72500,1560,93
13061,133000,2014,225626,1461,90
13062,146000,2013,94200,1248,95
13063,175000,2011,130000,1201,101
13064,178000,2013,205000,1401,101
13065,187000,2016,116000,1560,115
13066,197750,2007,282000,2148,150
13067,22000,1993,204000,1289,54
13068,42500,1993,175000,1401,51
13069,499750,2017,62000,1968,190
13070,57000,1991,394000,1601,101
13072,73750,2010,292500,1401,76
13073,113500,2007,229500,1598,124
13074,115000,2009,65000,1201,76
13075,125000,2016,150000,1598,120
13076,132500,2012,180000,1201,76
13077,135000,2016,150000,1199,83
13078,146000,2014,140000,1197,105
13080,189500,2015,180000,1461,110
13081,201000,2011,109000,1390,122
13082,205000,2014,137000,1598,105
13083,219500,2008,382000,2967,233
13084,244950,2021,0,1401,101
13085,28500,1992,6000,1581,83
13086,307000,2012,90000,1598,136
13087,498000,2018,33000,1598,136
13088,54000,1996,190000,1201,76
13089,107000,2012,195000,1598,124
13090,118500,2012,170000,1582,128
13091,119000,2007,122650,1339,83
13092,119000,2006,176000,1598,90
13093,123000,2013,121000,1198,75
13095,159000,2017,42826,1198,80
13096,161500,2012,175000,1461,110
13097,165000,2016,125000,1591,130
13098,169500,2016,64000,1596,105
13099,179900,2016,330000,1461,110
13100,182750,2018,30000,1598,132
13101,195000,2015,230000,1401,101
13102,25500,1992,80000,1499,68
13103,27500,1991,1111,1581,78
13104,27950,1993,59575,1581,80
13105,275000,2015,107000,1598,110
13106,287500,2012,170000,1796,156
13107,327000,2014,199000,1801,176
13108,348000,2020,0,1496,122
13109,46700,1998,75000,1200,101
13111,53000,1998,148000,1370,103
13112,59500,1997,290000,1601,101
13113,709750,2011,230000,3501,276
13114,72000,2004,210000,1390,75
13115,84900,2015,171000,1560,93
13117,110500,2011,257500,1461,105
13118,139900,2015,98000,1199,83
13119,145000,2013,78500,1396,100
13121,164750,2015,117000,1401,126
13122,165000,2016,141000,1499,120
13124,220000,2011,350000,1995,184
13125,26500,1994,142000,1201,51
13126,262500,2020,3700,1498,150
13127,368900,2017,62000,1461,109
13129,42000,1995,181000,1581,83
13130,66500,2008,195000,1368,77
13131,72000,2000,346000,1781,150
13132,87900,2006,191000,1390,98
13133,114500,2007,144000,1596,125
13134,122000,2011,218000,1560,114
13135,134000,2008,103000,1401,101
13136,143900,2012,148500,1201,76
13137,144750,2015,90000,1248,84
13138,147950,2017,136000,1598,120
13139,159000,2012,57800,1339,100
13140,186000,2015,223000,1461,110
13141,191000,2015,155500,1598,110
13142,204500,2018,75000,1598,115
13144,257750,2015,82000,1598,110
13145,285000,2017,146000,1598,120
13146,318000,2013,92000,1598,170
13147,386900,2018,96000,1461,109
13148,52250,1993,1111,1581,83
13149,109900,2011,159000,1398,70
13150,124500,2010,210000,1364,90
13152,145500,2011,263000,1598,105
13153,155900,2013,136000,1598,105
13154,160900,2017,78000,1461,90
13155,197950,2018,47000,1201,76
13156,199750,2012,196257,1598,105
13157,268500,2020,39000,1498,150
13158,274900,2010,174000,1801,176
13159,333900,2015,106000,1401,101
13160,35000,1995,250000,1581,80
13161,48000,1999,40000,1397,72
13163,93000,2011,116000,1493,88
13164,93000,2013,33000,998,69
13165,116000,2014,137500,1401,51
13166,118500,2012,170000,1582,128
13167,124000,2013,133000,1598,115
13168,134750,2008,220000,1995,143
13169,158500,2015,104000,1598,125
13170,179900,2016,330000,1461,110
13171,191500,2017,113000,1598,115
13172,195000,2015,230000,1401,101
13173,217500,2016,160000,1598,110
13174,22000,1989,290000,1581,80
13175,252000,2011,171000,1801,126
13176,27500,1991,1111,1581,78
13178,38500,1998,50000,1397,72
13179,84500,2006,293000,1201,76
13180,84900,2015,171000,1560,93
13181,110750,2015,80000,1201,76
13183,118500,2012,255000,1560,114
13184,125000,2012,190000,1461,110
13185,133000,2008,297000,1390,125
13186,135000,2012,217000,1461,110
13187,174500,2017,59300,1395,125
13188,179750,2016,81000,1596,125
13189,235000,2020,20500,1598,132
13191,300000,2016,214000,1598,120
13192,33000,1994,185000,1581,80
13193,378900,2015,53000,1598,136
13194,380000,2015,118000,1801,176
13195,465000,2015,138200,1801,176
13197,108750,2016,144000,1461,90
13198,145000,2013,78000,1197,105
13199,165500,2011,221197,1956,190
13200,166000,2017,135000,1396,90
13201,24000,1989,98484,1581,80
13203,255000,2012,118500,1401,151
13204,285000,2018,37000,1598,115
13205,289000,2020,57000,1401,126
13206,375000,2014,94250,1401,151
13207,535000,2017,118000,1201,126
13208,64500,2004,257000,1398,93
13209,64750,2001,380000,1596,100
13210,67000,2000,240000,1332,86
13211,82000,2005,270000,1598,115
13212,96000,2014,161500,1201,76
13213,115000,2001,320000,2979,231
13214,123900,2012,75500,1390,85
13215,133000,2014,195000,1560,93
13216,137500,2011,130000,1364,90
13217,148000,2015,158000,1461,90
13218,182000,2020,20604,1499,102
13219,193500,2017,126000,1499,120
13220,214750,2021,950,1201,76
13221,245900,2019,35500,1598,115
13222,286990,2016,69350,1598,110
13223,31000,1998,40000,1372,71
13225,365000,2021,600,1200,101
13226,37900,1998,275000,1201,51
13227,60000,1999,300000,1201,76
13228,73500,2013,235000,1461,90
13229,100000,2010,86000,1493,110
13230,107000,2010,173000,1242,82
13231,114500,2015,195000,1461,90
13232,116000,2016,139000,1401,51
13233,121750,2009,213500,1595,125
13234,156750,2017,33000,1398,90
13235,170000,2014,249500,1395,140
13236,172750,2016,105000,1422,90
13237,185000,2002,475000,4966,307
13238,225000,2012,340000,1801,126
13240,240000,2020,20000,1598,132
13241,252500,2015,298599,1598,120
13242,269000,2004,239000,2979,231
13243,93750,2015,175000,1201,76
13244,97500,2013,102500,1199,73
13245,100000,2013,292160,1560,117
13246,123900,2012,226000,1598,105
13247,129500,2017,95000,1461,90
13249,134990,2011,150000,1401,76
13251,180000,2017,110000,1598,115
13252,205000,2019,9100,1401,76
13253,290000,2020,10000,1597,125
13254,335500,2021,7,999,110
13256,37500,1998,230000,1581,103
13257,455000,2015,167000,1968,190
13258,50000,2000,90000,1581,96
13259,590000,2008,246000,2501,226
13260,66000,2011,515000,1399,97
13261,121250,2012,135000,1396,108
13262,128000,2011,186000,1596,125
13263,138000,2014,160000,1461,110
13264,148500,2021,6910,1368,95
13265,181900,2015,145000,1598,105
13266,205000,2013,339000,1801,176
13267,205000,2012,149800,1390,122
13268,21000,1989,45000,1581,80
13269,347000,2013,86000,1401,126
13270,48750,2003,388000,1686,75
13271,66500,1986,414000,2001,76
13272,72750,2008,269000,1422,80
13273,80000,2010,148000,1390,75
13274,95750,2007,165000,1201,76
13275,96000,2010,159000,1587,111
13277,110750,2015,80000,1201,76
13278,118500,2012,255000,1560,114
13279,120000,2013,143000,1396,90
13280,130500,2005,380000,2001,176
13281,133000,2013,63000,1200,76
13282,133500,2011,220000,1598,105
13283,135000,2012,217000,1461,110
13284,143000,2001,334000,1998,163
13285,147750,2011,73000,1339,100
13286,159000,2016,215900,1499,120
13287,165750,2017,75000,1598,115
13288,215000,2015,58000,1395,140
13289,235500,2011,135000,1401,226
13290,24000,1991,199000,1581,83
13291,262000,2017,109000,1598,136
13292,263500,2016,99950,1598,120
13293,286000,2016,110000,1598,110
13294,300000,2016,214000,1598,120
13295,326500,2014,140000,1401,151
13296,34900,2000,257000,1298,69
13297,55000,2009,185000,1596,80
13298,56600,1998,292000,1489,90
13299,64000,2006,160000,1150,72
13300,72000,2004,270000,1998,147
13302,77750,2011,235000,1461,70
13303,84000,2006,142000,1332,95
13304,937500,2013,138000,2967,300
13306,132000,2007,153000,1498,95
13307,147500,2013,110000,1339,100
13308,182500,2016,130000,1499,120
13310,198000,2009,161000,1390,125
13311,203500,2017,104800,1395,125
13312,22850,1993,195000,1289,57
13314,55000,1996,350000,1998,115
13318,85000,2011,154000,1390,75
13319,89000,1995,298950,1801,126
13321,105000,2008,271000,1598,105
13322,107750,2011,118000,1398,70
13323,126000,2016,128000,1598,120
13324,128000,2017,124000,1560,93
13325,139000,2012,132600,1364,90
13326,147000,2015,110000,1422,90
13327,185750,2017,175000,1461,110
13328,193000,2014,71000,1401,126
13329,193900,2017,49500,1461,110
13330,20000,1987,45545,1297,65
13331,209500,2014,248123,1598,120
13332,215750,2015,54000,1598,125
13333,234500,2014,155000,1598,110
13334,275000,2012,217000,1801,176
13336,97500,2012,210000,1401,76
13337,118500,2014,140000,1560,93
13338,131900,2016,115000,1248,95
13339,151000,2017,173000,1582,136
13340,217500,2017,140000,1461,110
13341,225000,2018,62000,1461,110
13342,252750,2021,0,1200,101
13343,27500,1987,99000,1297,65
13344,29750,1994,230000,1598,90
13345,310000,2015,86000,1598,110
13346,339500,2021,11200,1597,125
13347,369000,2012,196000,2001,201
13349,420000,2015,96000,1499,136
13350,499750,2020,15100,1401,126
13351,65000,2006,211000,1598,100
13352,92000,2007,170000,1201,76
13353,107900,2015,185000,1461,75
13356,115000,2008,105000,1595,102
13357,144000,2011,146000,1595,125
13358,196000,2015,98000,1598,110
13359,208000,2013,164000,1598,170
13360,215900,2020,7500,1461,115
13362,238500,2018,16300,999,110
13363,315000,2013,175000,1401,151
13364,346900,2016,110000,1401,151
13365,36750,1997,260000,1289,68
13366,59500,2004,166000,1242,81
13367,74500,2008,208000,1388,80
13368,93500,2008,243000,1493,110
13369,101000,2011,215000,1595,125
13370,108000,1996,540000,1801,126
13371,114500,2015,102000,1390,85
13372,132000,2011,199000,1560,111
13373,135900,2017,70000,1461,75
13374,170500,2018,86000,1582,136
13375,175000,2016,113000,1422,90
13376,33900,1998,120000,1581,80
13377,345500,2017,122034,1598,120
13380,75000,2006,340000,1801,126
13381,80000,2004,140000,1298,87
13382,85500,2005,235000,1598,100
13383,86000,2005,226911,1595,102
13384,92000,2014,188000,1248,95
13385,106000,2014,98000,1199,73
13386,113000,2016,200000,999,75
13387,123000,2013,121000,1198,75
13388,134999,2016,117000,1596,105
13389,171900,2018,88000,1582,136
13390,175000,2013,92000,1364,90
13391,175750,2016,83000,1422,90
13392,190950,2016,94000,1461,110
13393,26500,1992,91600,1581,83
13394,287500,2012,170000,1796,156
13395,297900,2021,0,1401,101
13396,327000,2014,199000,1801,176
13397,348000,2020,0,1496,122
13398,44000,2000,208000,1368,77
13400,79500,2010,157000,1390,75
13401,101000,2004,236000,1401,101
13402,105000,2015,205000,1461,90
13403,120000,2008,251200,1598,115
13404,143000,2001,334000,1998,163
13405,145000,2018,77000,1560,100
13406,180000,2015,155000,1499,120
13407,197900,2006,280000,2967,233
13408,25950,1994,287000,1372,71
13409,255000,2018,65000,1598,115
13410,255000,2017,48000,1401,126
13411,262000,2017,109000,1598,136
13412,263500,2016,99950,1598,120
13413,326500,2014,140000,1401,151
13414,75900,2001,55000,1401,76
13415,80000,2000,188000,1398,97
13416,95000,2015,96000,1149,75
13417,107000,2014,140000,1248,85
13419,134500,2017,21000,1199,83
13420,135000,2011,98000,1595,125
13421,148750,2009,106000,1498,95
13422,173750,2013,85000,1598,132
13423,204750,2016,131000,1395,125
13424,212500,2013,166483,1598,136
13425,222500,2017,119000,1598,136
13426,43500,1997,284000,1948,139
13427,45000,1999,350000,1581,83
13428,45000,1998,170000,1598,90
13429,56000,2005,220000,1242,81
13430,70000,2006,222000,1201,51
13431,87000,2004,227000,1595,102
13432,875000,2016,38000,1968,190
13434,125750,2014,222000,1598,105
13435,145000,2019,59500,1499,100
13436,145900,2014,123000,1401,101
13437,146000,2011,117000,1598,115
13438,199500,2014,155000,1598,105
13439,213900,2018,57000,1598,115
13440,30999,1994,150000,1581,83
13441,318750,2013,166500,1801,176
13442,475000,2016,77000,1401,151
13443,51500,2003,269785,1242,80
13444,53000,1997,400000,1396,90
13445,65000,2000,188000,1870,98
13446,665900,2020,38000,1801,176
13447,70000,2001,250000,1596,100
13448,88500,2005,250000,1401,101
13449,121750,2009,168000,1365,90
13450,123000,2012,155000,1560,93
13451,126000,2016,134000,1461,75
13452,135900,2011,183000,1560,110
13453,162500,2015,145000,1461,110
13455,255000,2017,124000,1598,115
13456,27500,1993,128000,1289,57
13457,294900,2016,95000,1401,151
13458,299900,2021,2850,999,115
13459,299999,2020,2950,1401,101
13460,39900,1995,125000,1581,83
13461,475000,2014,120000,1401,151
13462,49750,2001,313000,1389,60
13463,83000,2009,190000,1201,76
13464,94500,2010,220000,1401,101
13466,108750,2016,144000,1461,90
13467,119500,2016,27500,1200,76
13468,126000,2011,200000,1598,105
13469,132500,2011,127000,1582,115
13470,135000,2016,97500,1461,90
13471,142000,2020,3500,898,90
13472,148750,2009,106000,1498,95
13473,152000,2016,90000,1201,76
13474,156750,2012,80000,1201,151
13475,166000,2017,135000,1396,90
13476,185750,2016,120000,1499,120
13477,197000,2015,245000,1560,115
13478,205000,2015,110000,1598,125
13479,21000,1993,208000,1201,51
13480,212500,2013,166483,1598,136
13481,22500,1994,220000,1581,80
13482,222500,2017,119000,1598,136
13483,229950,2014,62000,1499,136
13484,289000,2020,57000,1401,126
13485,305000,2018,101000,1401,101
13486,35000,1990,427500,1998,90
13488,64500,2004,257000,1398,93
13489,699000,2011,85085,4806,400
13491,87000,2004,227000,1595,102
13492,96000,2014,161500,1201,76
13493,1580000,2020,780,1984,245
13494,115750,2011,72000,1401,101
13495,117500,2012,206000,1560,93
13496,135500,2012,190000,1595,125
13497,204500,2018,75000,1598,115
13498,225000,2016,96000,1598,110
13499,244900,2018,60000,1598,136
13500,245900,2021,8,999,115
13501,282500,2008,160000,1995,170
13502,35000,1990,100000,1581,83
13503,35750,1996,220000,1581,75
13504,658000,2020,0,1401,176
13505,74900,2009,140000,1401,101
13506,82750,2008,320000,1461,100
13507,87500,2000,300000,1596,100
13509,107900,2005,292000,1590,110
13511,115000,2011,143000,1398,100
13512,128750,2012,190000,1364,90
13513,145000,2020,18000,1368,95
13514,180000,2018,99000,1461,90
13515,189700,2011,258000,1995,184
13516,245900,2021,8,999,115
13518,302500,2018,47263,1401,101
13519,406900,2017,105000,1598,120
13521,62000,2006,245000,1398,71
13522,81950,2005,235000,1801,126
13523,95000,2012,320000,1582,128
13524,97500,2012,160000,1461,75
13525,103900,2005,269000,1590,110
13526,115000,2011,290000,1560,90
13527,122000,2013,56000,1248,85
13528,126500,2013,161000,1461,90
13529,137750,2012,140000,1364,90
13530,155000,1990,465000,3001,151
13531,199750,2017,110000,1598,115
13532,306500,2018,88200,1401,101
13533,388500,2018,59000,1598,120
13535,430250,2017,117000,1968,190
13536,47500,1997,11111,1581,83
13537,63500,2003,238000,1401,101
13538,66750,1998,210000,2001,151
13539,869000,2020,8000,1401,151
13540,98750,2015,210000,1201,76
13541,102500,2012,193000,1368,77
13542,117000,2009,222000,1201,76
13543,124500,2017,123000,1560,93
13546,137750,2016,125000,1461,110
13548,172500,2014,119000,1401,101
13549,202750,2014,124000,1598,105
13550,248000,2013,203000,1801,126
13551,27500,1995,1111,1581,83
13553,419000,2016,19800,1401,151
13554,49750,2000,260000,1332,86
13555,70900,2005,209000,1201,76
13556,72500,1994,310000,1997,136
13558,145000,2010,227000,1390,122
13559,150000,2017,110000,1248,95
13560,167500,2012,168000,1595,125
13562,179000,2020,16000,1200,101
13563,185250,2017,138000,1461,110
13564,266750,2020,17000,1498,150
13565,279000,2014,39935,1595,122
13566,36750,1991,92000,1581,83
13567,485000,2016,56500,1401,151
13568,53000,1998,270000,1998,115
13569,55000,2001,280000,1998,150
13571,695000,2017,32000,1984,252
13573,115000,2011,330000,1248,95
13574,133000,2017,130000,1248,95
13577,155000,2013,140000,1560,117
13578,162900,2008,315000,1968,136
13579,19900,1993,207000,1289,57
13580,195900,2018,25000,1598,132
13581,215000,2020,6750,1200,76
13582,220000,2015,49000,1401,101
13583,224900,2017,71142,1401,126
13584,234750,2017,49750,1395,150
13585,250000,2009,158000,1995,177
13586,30500,1992,185000,1390,83
13588,86500,1987,370000,5001,201
13589,109000,2010,170000,1596,100
13591,167000,2018,36000,1560,100
13592,174500,2017,122500,1461,90
13593,201000,2009,330000,1796,184
13594,247500,2017,60280,1598,115
13595,264500,2018,124000,1598,120
13596,315000,2016,126000,1598,120
13597,34000,1993,189000,1397,72
13598,345000,2014,138000,1995,184
13599,36000,1993,290000,1581,75
13600,37000,1996,75000,1581,83
13601,48750,1998,255000,1389,90
13602,659900,2012,205000,2967,245
13603,69900,1999,365000,1598,110
13604,79000,2009,100500,1399,97
13605,143900,2013,68000,1401,101
13607,152000,2020,22000,1368,95
13608,165000,2012,220000,1598,105
13609,189900,2015,61000,1197,105
13610,211800,2015,88000,1200,101
13611,309500,2013,162000,1401,151
13612,40000,2001,16750,1401,76
13613,428000,2016,72000,1401,151
13614,60000,2000,198000,1390,75
13615,609900,2016,97000,1968,190
13616,69900,2000,257000,1598,110
13617,75000,2001,381000,1401,101
13618,75500,2004,280000,1598,115
13619,76000,2006,245000,1560,111
13620,92000,2009,190000,1598,103
13622,105900,2005,180000,1596,100
13623,118750,2011,134000,1201,76
13625,159900,2019,71960,1461,75
13627,161750,2019,69000,1201,76
13628,185000,2013,175403,1598,105
13629,252000,2015,90000,1201,151
13630,258500,2018,18000,1401,101
13631,350900,2014,133000,1801,176
13632,405000,2014,144000,1401,151
13633,45000,1994,129000,1581,83
13634,63900,1999,279000,1598,110
13635,85000,2011,227000,1493,110
13636,92500,2008,172000,1598,115
13637,123900,2007,123000,1598,110
13638,132900,2013,117000,1401,101
13639,136000,2013,130000,1596,105
13640,155000,2019,59500,1499,100
13641,158000,2021,0,1368,95
13642,187000,2016,163000,1598,136
13643,191800,2013,99000,1390,160
13644,208500,2014,182000,1598,105
13645,228000,2016,103000,1395,150
13646,242500,2017,77460,1401,101
13647,26750,1993,209000,1581,80
13648,335000,2014,136000,1598,170
13649,345000,2016,172000,1968,190
13651,72000,2005,199000,1390,98
13652,90000,2005,114000,1341,82
13654,118000,2011,102000,1388,96
13655,123900,2012,75500,1390,85
13656,125000,2015,50000,1461,75
13657,133000,2014,195000,1560,93
13658,137000,2012,166000,1598,105
13659,146000,2011,117000,1598,115
13660,157000,2010,237000,1801,126
13661,169750,2020,3200,1200,76
13663,19500,1992,123456,1500,75
13664,199500,2014,155000,1598,105
13665,20500,1990,95000,790,41
13666,214750,2021,950,1201,76
13667,25000,1993,70000,1581,83
13668,259500,2015,138000,1496,116
13670,318750,2013,166500,1801,176
13671,37900,1998,275000,1201,51
13672,475000,2016,77000,1401,151
13673,56750,2005,265000,1401,51
13674,59000,2006,125000,1240,65
13676,73500,2013,235000,1461,90
13677,85000,2010,132000,1493,110
13678,90000,2006,345000,1560,109
13680,98000,2005,261000,1401,101
13681,105000,2011,71000,1390,75
13682,117950,2017,125000,1560,93
13683,148000,2015,158000,1461,90
13684,162000,2011,160000,1596,160
13685,175000,2015,160000,1401,76
13686,179750,2012,18000,1595,125
13687,195000,2013,74800,1197,105
13688,217500,2017,116000,1401,101
13689,228500,2013,100000,1598,105
13690,38500,2001,150000,1581,83
13691,390000,2014,82000,1801,176
13692,49000,1996,325000,1998,136
13693,69000,1995,446000,1998,136
13695,87900,2001,196000,1598,110
13697,116000,2016,139000,1401,51
13698,119950,2015,187750,1401,51
13699,134900,2008,205000,1595,125
13700,197900,2002,339000,3600,272
13701,205000,2015,44000,1598,110
13702,207000,2020,0,1200,101
13703,227900,2020,0,1200,76
13704,228900,2020,0,1201,101
13705,239000,2012,173000,1801,126
13706,313900,2017,42000,1598,120
13707,34750,2000,155000,1581,96
13708,55000,2003,250000,1390,100
13709,82500,2007,350000,1461,100
13711,875500,2020,14000,1401,151
13712,89000,2017,480000,1248,95
13713,102000,2007,240000,1968,140
13714,108000,2015,174000,1248,95
13715,120000,2010,229500,1398,71
13716,128500,2008,130000,1596,100
13717,129900,2007,190000,1595,125
13718,139900,2012,67000,1200,101
13719,149000,2014,147000,1396,90
13720,178500,2015,135000,1598,110
13721,185500,2015,59000,1364,140
13722,205000,2019,9100,1401,76
13723,25650,2001,195000,1581,83
13724,269500,2014,165000,1401,76
13725,293000,2019,44500,1601,101
13726,32750,1984,17000,1397,72
13727,353000,2012,54000,1595,156
13728,460000,2017,92000,1801,176
13729,111500,2009,232000,1242,69
13730,116000,2011,112000,1461,85
13731,117900,2011,217000,1397,100
13732,117900,2010,275000,1595,125
13733,138000,2014,160000,1461,110
13734,166500,2020,21000,1499,100
13735,169850,2015,11000,1201,76
13737,187000,2008,173000,1796,184
13738,205250,2017,93000,1598,136
13740,243000,2019,116000,1401,101
13741,48500,1999,138500,1289,68
13742,49750,2001,48000,1581,83
13743,600000,2016,139000,1968,190
13745,113000,2010,250000,1598,115
13746,119000,2007,122650,1339,83
13747,122500,2011,325000,1560,111
13748,124000,2006,215000,1598,115
13749,125000,2009,195000,1598,115
13750,161500,2012,175000,1461,110
13751,169500,2016,64000,1596,105
13752,182750,2018,30000,1598,132
13753,187000,2017,28000,1598,110
13754,193900,2017,49500,1461,110
13755,210000,2012,152000,1401,126
13756,27950,1993,59575,1581,80
13757,275000,2015,107000,1598,110
13758,72000,2004,210000,1390,75
13759,79000,1993,432000,1801,126
13760,81250,2011,130000,1248,78
13761,147750,2011,73000,1339,100
13762,159000,2016,215900,1499,120
13763,161000,2019,43000,1201,76
13764,165750,2017,75000,1598,115
13765,172000,2013,128500,1401,101
13766,215000,2015,58000,1395,140
13767,215900,2020,7500,1461,115
13768,24000,1991,199000,1581,83
13769,276500,2020,650,1200,101
13770,286000,2016,110000,1598,110
13771,520000,2014,196000,1995,218
13772,72000,2004,270000,1998,147
13773,78000,2006,280000,1599,107
13774,79500,2000,228000,1598,100
13775,87500,1997,371444,1998,136
13776,97000,2001,240000,1801,126
13777,126000,2011,200000,1598,105
13778,136500,2017,69000,1560,93
13779,142000,2020,3500,898,90
13780,152000,2016,90000,1201,76
13781,154900,2018,51000,1248,95
13782,185750,2016,120000,1499,120
13783,185900,2001,425000,3199,224
13784,205000,2015,110000,1598,125
13785,22500,1994,220000,1581,80
13786,299900,2012,180000,1801,176
13787,305000,2018,101000,1401,101
13788,55750,1997,386000,1801,126
13790,69500,2006,290000,1422,80
13791,75000,2005,314000,1599,107
13793,118000,2011,102000,1388,96
13794,125000,2017,102000,1560,93
13795,169750,2020,3200,1200,76
13796,177900,2018,31668,999,110
13798,237900,2008,148000,1601,176
13799,25000,1993,70000,1581,83
13800,262500,2016,50000,1395,125
13803,36500,1996,158000,1601,101
13804,56750,2005,265000,1401,51
13805,78900,2013,250000,1248,95
13806,79500,2010,157000,1390,75
13807,88750,2006,255000,1248,90
13808,98000,2005,261000,1401,101
13809,109500,2008,190000,1595,102
13810,122750,2016,110000,1461,90
13811,152500,2015,145000,1596,105
13812,160000,2016,161000,1198,130
13813,215000,2016,119000,1598,110
13814,226750,2018,68000,1401,101
13815,249000,2015,137000,1598,110
13816,260000,2017,69000,1201,101
13817,410000,2014,99000,1592,170
13818,415000,2011,215000,1601,201
13819,44999,1997,235487,1998,133
13820,61000,1997,151000,1581,83
13821,87000,2009,200000,1493,110
13822,89750,2001,139000,1598,100
13823,92500,2015,250000,1201,76
13824,96000,2014,136000,1199,73
13825,104000,2006,193800,1590,110
13826,117750,2015,215000,1396,90
13827,119900,2012,230000,1401,76
13828,125750,2013,123000,1201,76
13829,169750,2012,141000,1598,105
13830,205000,2016,153000,1598,110
13831,225500,2016,18000,1598,132
13832,259000,2019,10000,1598,115
13833,297500,2016,115000,1401,126
13834,301500,2016,92470,1598,110
13835,42000,1994,132000,1581,83
13836,645000,2017,32000,1595,156
13837,66000,2005,330000,1401,76
13838,78900,2013,254000,1248,95
13840,94750,2004,198000,1598,100
13841,1350000,2013,225000,2967,300
13842,100000,2010,86000,1493,110
13843,101000,2010,96300,1399,100
13844,109500,2008,190000,1595,102
13846,114500,2015,195000,1461,90
13847,115000,2008,174000,1586,122
13848,122750,2016,110000,1461,90
13849,146900,2011,198000,1401,101
13850,152500,2015,145000,1596,105
13851,172000,2012,152000,1598,105
13852,172750,2016,105000,1422,90
13853,188900,2012,250000,1595,180
13854,226750,2018,68000,1401,101
13855,23500,1991,220000,1499,68
